Component,Department,Name,Title,Email,Street Address 1,Street Address 2,City,State,Zip code,Telephone,Fax
Gulf Coast Ecosystem Restoration Council,Gulf Coast Ecosystem Restoration Council,Frederick Sutter,,,"Frederick Sutter, FOIA Officer, Suite 1117",500 Poydras Street,New Orleans,LA,70130,504-444-3511,504-304-1473
Harry S. Truman Scholarship Foundation,Harry S. Truman Scholarship Foundation,Tara Yglesias,Deputy Executive Secretary,tyglesias@truman.gov,"Tara Yglesias, FOIA Officer","712 Jackson Place, NW",Washington,DC,20006,202.395.4831,202-395-6995
Harry S. Truman Scholarship Foundation,Harry S. Truman Scholarship Foundation,Tara Yglesias,Deputy Executive Secretary,tyglesias@truman.gov,"Tara Yglesias, FOIA Officer","712 Jackson Place, NW",Washington,DC,20006,202.395.4831,202-395-6995
Institute of Museum and Library Services,Institute of Museum and Library Services,Brianna Ingram,FOIA Liaison,foia@imls.gov,"955 L'Enfant Plaza North, SW",Suite 4000,Washington,DC,20024,202-653-4787 ,
Institute of Museum and Library Services,Institute of Museum and Library Services,Brianna Ingram,FOIA Processor,foia@imls.gov,"955 L'Enfant Plaza North, SW",Suite 4000,Washington,DC,20024,202-653-4787 ,
Inter-American Foundation,Inter-American Foundation,Joseph McClanahan,FOIA Public Liaison,jmcclanahan@iaf.gov,"1331 Pennsylvania, NW ",3rd Floor South,Washington,DC,20004,202-360-4530,
Inter-American Foundation,Inter-American Foundation,Nichole Skoyles,General Counsel and Chief FOIA Officer,nskoyles@iaf.gov,"1331 Pennsylvania, NW ",3rd Floor South,Washington,DC,20004,202-360-4530,
James Madison Memorial Fellowship Foundation,James Madison Memorial Fellowship Foundation,Oliver Alwes,,,"Oliver Alwes, FOIA Officer",1613 Duke Street,Alexandria,VA,22314,571-858-4208,703-838-2180
James Madison Memorial Fellowship Foundation,James Madison Memorial Fellowship Foundation,Oliver Alwes,,,"Oliver Alwes, FOIA Officer",1613 Duke Street,Alexandria,VA,22314,571-858-4208,703-838-2180
Office of Inspector General,Legal Services Corporation,Roxanne Caruso,FOIA Public Liaison,rcaruso@oig.lsc.gov,"1825 Eye Street NW, Suite 800",,Washington,DC,20006,202-295-1582,202-337-6616
Office of Legal Affairs,Legal Services Corporation,"Elijah Johnson, Jr.",FOIA Public Liaison,johnsone@lsc.gov,"1825 Eye Street NW, Suite 800",,Washington,DC,20006,202-295-1638,
Marine Mammal Commission,Marine Mammal Commission,Cathy Shrestha,,,"Michael Gosliner, FOIA Officer, Suite 700",4340 East-West Highway,Bethesda,MD,20814,301-504-0087,202-504-0099
Marine Mammal Commission,Marine Mammal Commission,Michael Gosliner,,,"Michael Gosliner, FOIA Officer, Suite 700",4340 East-West Highway,Bethesda,MD,20814,301-504-0087,202-504-0099
Headquarters,Merit Systems Protection Board,Gwendolyn Wilson,FOIA Public Liaison ,foia@mspb.gov,"1615 M Street, NW",,Washington,DC,20419,202-653-7200,202-653-7130
Headquarters,Merit Systems Protection Board,Karin Kelly,,,"1615 M Street, NW",,Washington,DC,20419,202-653-6772,202-653-7130
Millennium Challenge Corporation,Millennium Challenge Corporation,Glenn Lewis,Program Officer,lewisgm@mcc.gov,"Tamiko Walker, Chief FOIA Officer",1099 14th St. NW Ste 700,Washington,DC,20005,(202) 772-6686,202-521-3939
Ames Research Center,National Aeronautics and Space Administration,Martha Terry,Government Information Specialist,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-2339,
Ames Research Center,National Aeronautics and Space Administration,Sarah A. Scharf,Principal Agency FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-0625,
Ames Research Center,National Aeronautics and Space Administration,Stephanie K. Fox,Deputy Agency FOIA Officer / FOIA Public Liaison,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-1553,
Armstrong Flight Research Center,National Aeronautics and Space Administration,Martha Terry,Government Information Specialist,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",S.W. Washington,DC,20546,202-358-2339,
Armstrong Flight Research Center,National Aeronautics and Space Administration,Sarah A. Scharf,Principal Agency FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",S.W. Washington,DC,20546,202-358-0625,
Armstrong Flight Research Center,National Aeronautics and Space Administration,Stephanie K. Fox,Deputy Agency FOIA Officer / FOIA Public Liaison,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",S.W. Washington,DC,20546,202-358-1553,
Glenn Research Center,National Aeronautics and Space Administration,Martha Terry,Government Information Specialist,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-2339,
Glenn Research Center,National Aeronautics and Space Administration,Sarah A. Scharf,Principal Agency FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-0625,
Glenn Research Center,National Aeronautics and Space Administration,Stephanie K. Fox,Deputy Agency FOIA Officer / FOIA Public Liaison,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-1553,
Goddard Space Flight Center,National Aeronautics and Space Administration,Alyssa Bias,Government Information Specialist,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-4664,
Goddard Space Flight Center,National Aeronautics and Space Administration,Sarah A. Scharf,Principal Agency FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-0625,
Goddard Space Flight Center,National Aeronautics and Space Administration,Stephanie K. Fox,Deputy Agency FOIA Officer / FOIA Public Liaison,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-1553,
Headquarters,National Aeronautics and Space Administration,Derek Moore,Government Information Specialist,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-2681,
Headquarters,National Aeronautics and Space Administration,Sarah A. Scharf,Principal Agency FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-0625,
Headquarters,National Aeronautics and Space Administration,Stephanie K. Fox,Deputy Agency FOIA Officer / FOIA Public Liaison,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-1553,
Jet Propulsion Laboratory,National Aeronautics and Space Administration,Dennis Mahon,Government Information Specialist,,"JPL FOIA Office, NASA Management Office",4800 Oak Grove Drive,Pasadena,CA,91109-8001,818-393-6779,818-393-3160
Jet Propulsion Laboratory,National Aeronautics and Space Administration,Sarah A. Scharf,Principal Agency FOIA Officer,,"JPL FOIA Office, NASA Management Office",4800 Oak Grove Drive,Pasadena,CA,91109-8001,202-358-0625,818-393-3160
Jet Propulsion Laboratory,National Aeronautics and Space Administration,Stephanie K. Fox,Deputy Agency FOIA Officer / FOIA Public Liaison,,"JPL FOIA Office, NASA Management Office",4800 Oak Grove Drive,Pasadena,CA,91109-8001,202-358-1553,818-393-3160
Johnson Space Center,National Aeronautics and Space Administration,Robert Young,Government Information Specialist,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-1030,
Johnson Space Center,National Aeronautics and Space Administration,Sarah A. Scharf,Principal Agency FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-0625,
Johnson Space Center,National Aeronautics and Space Administration,Stephanie K. Fox,Deputy Agency FOIA Officer / FOIA Public Liaison,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-1553,
Kennedy Space Center,National Aeronautics and Space Administration,Carissa T. Smith,Government Information Specialist,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,757-746-0585,
Kennedy Space Center,National Aeronautics and Space Administration,Sarah A. Scharf,Principal Agency FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-0625,
Kennedy Space Center,National Aeronautics and Space Administration,Stephanie K. Fox,Deputy Agency FOIA Officer / FOIA Public Liaison,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-1553,
Langley Research Center,National Aeronautics and Space Administration,Carissa T. Smith,Government Information Specialist,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,757-746-0585,
Langley Research Center,National Aeronautics and Space Administration,Sarah A. Scharf,Principal Agency FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-0625,
Langley Research Center,National Aeronautics and Space Administration,Stephanie K. Fox,Deputy Agency FOIA Officer / FOIA Public Liaison,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-1553,
Marshall Space Flight Center,National Aeronautics and Space Administration,Mireya Nyirenda,Government Information Specialist,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-0680,
Marshall Space Flight Center,National Aeronautics and Space Administration,Sarah A. Scharf,Principal Agency FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-0625,
Marshall Space Flight Center,National Aeronautics and Space Administration,Stephanie K. Fox,Deputy Agency FOIA Officer / FOIA Public Liaison,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-1553,
NASA Shared Services Center,National Aeronautics and Space Administration,Martha Terry,Government Information Specialist,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-2339,
NASA Shared Services Center,National Aeronautics and Space Administration,Sarah A. Scharf,Principal Agency FOIA Officer,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-0625,
NASA Shared Services Center,National Aeronautics and Space Administration,Stephanie K. Fox,Deputy Agency FOIA Officer / FOIA Public Liaison,,"NASA HQ FOIA Office, MS 5-R30","300 E Street, SW",Washington,DC,20546,202-358-1553,
Office of the Inspector General,National Aeronautics and Space Administration,Christian Caicedo,Legal Administrative Specialist,,"OIG FOIA Officer, Room 8V69","300 E Street, SW",Washington,DC,20546,,202-358-2767
Office of the Inspector General,National Aeronautics and Space Administration,Frank LaRocca,Counsel to the Inspector General,,"OIG FOIA Officer, Room 8V69","300 E Street, SW",Washington,DC,20546,202-358-2575,202-358-2767
Office of the Inspector General,National Aeronautics and Space Administration,Sashka Mannion,Attorney-Advisor / Alternate OIG FOIA Program Manager,,"OIG FOIA Officer, Room 8V69","300 E Street, SW",Washington,DC,20546,202-358-4809,202-358-2767
Office of the Inspector General,National Aeronautics and Space Administration,Terri Thompson,Associate Counsel to the IG / OIG FOIA Program Manager,,"OIG FOIA Officer, Room 8V69","300 E Street, SW",Washington,DC,20546,202-358-3696,202-358-2767
Stennis Space Center,National Aeronautics and Space Administration,Sallie Bilbo,Government Information Specialist,,SSC FOIA,"Building 1100, Room 304D",Stennis Space Center,MS,39529,228-688-3182,228-668-1094
Stennis Space Center,National Aeronautics and Space Administration,Sarah A. Scharf,Principal Agency FOIA Officer,,SSC FOIA,"Building 1100, Room 304D",Stennis Space Center,MS,39529,202-358-0625,228-668-1094
Stennis Space Center,National Aeronautics and Space Administration,Stephanie K. Fox,Deputy Agency FOIA Officer / FOIA Public Liaison,,SSC FOIA,"Building 1100, Room 304D",Stennis Space Center,MS,39529,202-358-1553,228-668-1094
Barack Obama Presidential Library,National Archives and Records Administration,,,obama.library@nara.gov,2500 W. Golf Road,,Hoffman Estates,IL,60169-1114,,
Barack Obama Presidential Library,National Archives and Records Administration,Kate Dillon-McClure,FOIA Public Liaison,libraries.foia.liaison@nara.gov,2500 W. Golf Road,,Hoffman Estates,IL,60169-1114,,
George Bush Presidential Library,National Archives and Records Administration,Kate Dillon-McClure,FOIA Public Liaison,libraries.foia.liaison@nara.gov,George Bush Presidential Library and Museum,1000 George Bush Drive,West College Station,TX,77845,,979-691-4050
George W. Bush Presidential Library,National Archives and Records Administration,,,gwbush.library@nara.gov,George W. Bush Presidential Library and Museum,2943 SMU Blvd,Dallas,TX,75205-2300,,214-346-1699
George W. Bush Presidential Library,National Archives and Records Administration,Kate Dillon-McClure,FOIA Public Liaison,libraries.foia.liaison@nara.gov,George W. Bush Presidential Library and Museum,2943 SMU Blvd,Dallas,TX,75205-2300,,214-346-1699
National Archives at Atlanta,National Archives and Records Administration,,,,National Archvies at Atlanta,57800 Jonesboro Road,Morrow,GA,30260,770-968-2100,770-968-2547
National Archives at Atlanta,National Archives and Records Administration,Rebecca Calcagno,Supervisory Archivist,,National Archvies at Atlanta,57800 Jonesboro Road,Morrow,GA,30260,,770-968-2547
National Archives at Atlanta,National Archives and Records Administration,Rob Richards,Director of Archival Operations,,National Archvies at Atlanta,57800 Jonesboro Road,Morrow,GA,30260,,770-968-2547
National Archives at Boston,National Archives and Records Administration,,,,Frederick C. Murphy Federal Center,380 Trapelo Road,Waltham,MA,02452-6399,781-663-0130,781-663-0154
National Archives at Boston,National Archives and Records Administration,Alfie Paul,Director of Archival Operations,,Frederick C. Murphy Federal Center,380 Trapelo Road,Waltham,MA,02452-6399,,781-663-0154
National Archives at Boston,National Archives and Records Administration,Rebecca Calcagno,Supervisory Archivist,,Frederick C. Murphy Federal Center,380 Trapelo Road,Waltham,MA,02452-6399,,781-663-0154
National Archives at Chicago,National Archives and Records Administration,,,,National Archives at Chicago,7358 South Pulaski Road,Chicago,IL,60629-5898,773-581-7816,773-948-9050
National Archives at Chicago,National Archives and Records Administration,Douglas Bicknese,Director of Archival Operations,,National Archives at Chicago,7358 South Pulaski Road,Chicago,IL,60629-5898,,773-948-9050
National Archives at Chicago,National Archives and Records Administration,Rebecca Calcagno,Supervisory Archivist,,National Archives at Chicago,7358 South Pulaski Road,Chicago,IL,60629-5898,,773-948-9050
National Archives at Denver,National Archives and Records Administration,,,,National Archives in Denver,17101 Huron St.,Broomfield,CO,80223,,303-407-5709
National Archives at Denver,National Archives and Records Administration,Gwen Granados,Director of Archival Operations,,National Archives in Denver,17101 Huron St.,Broomfield,CO,80223,303-407-5740,303-407-5709
National Archives at Denver,National Archives and Records Administration,Rebecca Calcagno,Supervisory Archivist,,National Archives in Denver,17101 Huron St.,Broomfield,CO,80223,,303-407-5709
National Archives at Fort Worth,National Archives and Records Administration,Archival Research,Archivist,ftworth.archives@nara.gov,National Archives at Ft Worth,1400 John Burgess Drive,Fort Worth,TX,76140,817-551-2051,817-551-2034
National Archives at Fort Worth,National Archives and Records Administration,Michael Wright,Director of Archival Operations,,National Archives at Ft Worth,1400 John Burgess Drive,Fort Worth,TX,76140,,817-551-2034
National Archives at Fort Worth,National Archives and Records Administration,Rebecca Calcagno,Supervisory Archivist,,National Archives at Ft Worth,1400 John Burgess Drive,Fort Worth,TX,76140,,817-551-2034
National Archives at Kansas City,National Archives and Records Administration,,,,National Archvies at Kansas City,400 West Pershing Road,Kansas City,MO,64108,816-268-8000,816-268-8038
National Archives at Kansas City,National Archives and Records Administration,Jake Ersland,Director of Archival Operations,,National Archvies at Kansas City,400 West Pershing Road,Kansas City,MO,64108,,816-268-8038
National Archives at Kansas City,National Archives and Records Administration,Rebecca Calcagno,Supervisory Archivist,,National Archvies at Kansas City,400 West Pershing Road,Kansas City,MO,64108,,816-268-8038
National Archives at New York City,National Archives and Records Administration,,,,National Archives at New York,1 Bowling Green,New York,NY,10004,212-401-1620,212-401-1638
National Archives at New York City,National Archives and Records Administration,Chris Gushman,Director of Archival Operations,,National Archives at New York,1 Bowling Green,New York,NY,10004,,212-401-1638
National Archives at New York City,National Archives and Records Administration,Rebecca Calcagno,Supervisory Archivist,,National Archives at New York,1 Bowling Green,New York,NY,10004,,212-401-1638
National Archives at Philadelphia,National Archives and Records Administration,,,,National Archives at Philadelphia,14700 Townsend Road,Philadelphia,PA,19154-1096,215-305-2044,215-305-2038
National Archives at Philadelphia,National Archives and Records Administration,Patrick Connelly,Director of Archival Operations,,National Archives at Philadelphia,14700 Townsend Road,Philadelphia,PA,19154-1096,,215-305-2038
National Archives at Philadelphia,National Archives and Records Administration,Rebecca Calcagno,Supervisory Archivist,,National Archives at Philadelphia,14700 Townsend Road,Philadelphia,PA,19154-1096,,215-305-2038
National Archives at Riverside,National Archives and Records Administration,Randy Thompson,Director of Archival Operations,,National Archives at Riverside,23123 Cajalco Road,Perris,CA,92570,951-956-2000,951-956-2049
National Archives at Riverside,National Archives and Records Administration,Rebecca Calcagno,Supervisory Archivist,,National Archives at Riverside,23123 Cajalco Road,Perris,CA,92570,,951-956-2049
National Archives at San Francisco,National Archives and Records Administration,,,,Leo J. Ryan Memorial Federal Bldg,100 Commodore Drive,San Bruno,CA,94066-2350,650-238-3501,650-238-3510
National Archives at San Francisco,National Archives and Records Administration,Rebecca Calcagno,Supervisory Archivist,,Leo J. Ryan Memorial Federal Bldg,100 Commodore Drive,San Bruno,CA,94066-2350,,650-238-3510
National Archives at San Francisco,National Archives and Records Administration,Stephanie Bayless,Director of Archival Operations,,Leo J. Ryan Memorial Federal Bldg,100 Commodore Drive,San Bruno,CA,94066-2350,,650-238-3510
National Archives at Seattle,National Archives and Records Administration,,,,National Archives at Seattle,"6125 Sand Point Way, NE",Seattle,WA,98115-7999,206-336-5115,206-336-5112
National Archives at Seattle,National Archives and Records Administration,Rebecca Calcagno,Supervisory Archivist,,National Archives at Seattle,"6125 Sand Point Way, NE",Seattle,WA,98115-7999,,206-336-5112
National Archives at Seattle,National Archives and Records Administration,Sue Karren,Supervisory Archivist,,National Archives at Seattle,"6125 Sand Point Way, NE",Seattle,WA,98115-7999,,206-336-5112
National Archives at Seattle,National Archives and Records Administration,Valerie Szwaya,Director of Archival Operations,,National Archives at Seattle,"6125 Sand Point Way, NE",Seattle,WA,98115-7999,,206-336-5112
National Archives at St. Louis,National Archives and Records Administration,,,,National Archives at St. Louis,1 Archives Drive,St. Louis,MO,63138,,
National Archives at St. Louis,National Archives and Records Administration,Theresa Fitzgerald,Supervisory Archivist,,National Archives at St. Louis,1 Archives Drive,St. Louis,MO,63138,,
National Archives at St. Louis,National Archives and Records Administration,Theresa Fitzgerald,Supervisory Archivist,,National Archives at St. Louis,1 Archives Drive,St. Louis,MO,63138,,
National Personnel Records Center - Military,National Archives and Records Administration,Kevin Pratt,Assistant Director for Military Records,kevin.pratt@nara.gov,1 Archives Drive  ,,St. Louis,MO,63138-1002,(314) 801-0582,(314) 801-0605
"Office of General Counsel, Operational FOIA and Access Division",National Archives and Records Administration,,,,"National Archives at College Park, Office of the General Counsel, Room 3110",8601 Adelphi Road,College Park,MD,20740,301-837-3642,301-837-0293
"Office of General Counsel, Operational FOIA and Access Division",National Archives and Records Administration,Gary M. Stern,"General Counsel, Chief FOIA Officer",ngc.foia.liaison@nara.gov,"National Archives at College Park, Office of the General Counsel, Room 3110",8601 Adelphi Road,College Park,MD,20740,301-837-1750,301-837-0293
"Office of General Counsel, Operational FOIA and Access Division",National Archives and Records Administration,Joseph A. Scanlon,FOIA & Privacy Act Officer,,"National Archives at College Park, Office of the General Counsel, Room 3110",8601 Adelphi Road,College Park,MD,20740,301-837-3642,301-837-0293
"Office of Presidential Libraries, Archival Operations Division",National Archives and Records Administration,Kate Dillon-McClure,FOIA Public Liaison,libraries.foia.liaison@nara.gov,"The National Archives Building, Room G-7","700 Pennsylvania Avenue, NW",Washington,DC,20408-0001,,202-357-5941
"Office of Research Services - Washington, DC Area",National Archives and Records Administration,,,,"Special Access and FOIA Program (RF), Room 5500",8601 Adelphi Road,College Park,MD,20740,301-837-3190,301-837-1864
"Office of Research Services - Washington, DC Area",National Archives and Records Administration,Rebecca Calcagno,Supervisory Archivist,,"Special Access and FOIA Program (RF), Room 5500",8601 Adelphi Road,College Park,MD,20740,,301-837-1864
Office of the Inspector General,National Archives and Records Administration,,,,"FOIA Contact, Room 1300",8601 Adelphi Road,College Park,MD,20740,301-837-3000,301-837-3197
Office of the Inspector General,National Archives and Records Administration,Dr. Brett Baker,Inspector General ,brett.baker@nara.gov,"FOIA Contact, Room 1300",8601 Adelphi Road,College Park,MD,20740,301-837-3018,301-837-3197
Office of the Inspector General,National Archives and Records Administration,John Simms,,,"FOIA Contact, Room 1300",8601 Adelphi Road,College Park,MD,20740,301-837-3197,301-837-3197
Ronald Reagan Presidential Library,National Archives and Records Administration,Kate Dillon-McClure,FOIA Public Liaison,libraries.foia.liaison@nara.gov, Ronald Reagan Presidential Library & Museum,40 Presidential Drive,Simi Valley,CA,93065-0699,,805-577-4074
Select National Archives component for me,National Archives and Records Administration,Gary M. Stern,"General Counsel, Chief FOIA Officer",ngc.foia.liaison@nara.gov,"National Archives at College Park, Room 3110",8601 Aldephi Road,College Park,MD,20740,301-837-1750,(301) 837-0293 
Select National Archives component for me,National Archives and Records Administration,Joseph Scanlon,"FOIA Office, Office of the General Counsel",foia@nara.gov,"National Archives at College Park, Room 3110",8601 Aldephi Road,College Park,MD,20740,(301) 837-3642 ,(301) 837-0293 
William J. Clinton Presidential Library,National Archives and Records Administration,Kate Dillon-McClure,FOIA Public Liaison,libraries.foia.liaison@nara.gov,William J. Clinton Presidential Library & Museum,1200 President Clinton Avenue,Little Rock,AR,72201,,501-244-2883
National Capital Planning Commission,National Capital Planning Commission,,,,"Meghan Hottel-Cox, Chief FOIA Officer, North Lobby, Suite 500","401 9th Street, NW",Washington,DC,20004,,N/A
National Capital Planning Commission,National Capital Planning Commission,Tamara Y. Lewis,"Director, Office of Administration",tamara.lewis@ncpc.goc,"Meghan Hottel-Cox, Chief FOIA Officer, North Lobby, Suite 500","401 9th Street, NW",Washington,DC,20004,202-482-7228,N/A
National Council on Disability,National Council on Disability,Amy Nicholas,Senior Attorney Advisor /FOIA Public Liaison,anicholas@ncd.gov,1331 F St. NW. Ste. 850,,Washington,DC,20004,202-731-2213,
Main Office,National Credit Union Administration,Elizabeth Harris,,foia@ncua.gov,1775 Duke Street,,Alexandria,VA,22314,703-518-6540,703-518-6569
Main Office,National Credit Union Administration,GIS,,,1775 Duke Street,,Alexandria,VA,22314,703-518-6540,703-518-6569
Main Office,National Credit Union Administration,OGC Senior Attorney,FOIA Officer ,foia@ncua.gov,1775 Duke Street,,Alexandria,VA,22314,703-518-6540,703-518-6569
Office of the Inspector General,National Credit Union Administration,,,,"Marta Erceg, Counsel to the Inspector General / Assistant IG for Investigations",1775 Duke Street,Alexandria,VA,22314,703-518-6350,703-518-6349
Office of the Inspector General,National Credit Union Administration,,,,"Marta Erceg, Counsel to the Inspector General / Assistant IG for Investigations",1775 Duke Street,Alexandria,VA,22314,703-518-6350,703-518-6349
National Endowment for the Arts,National Endowment for the Arts,Emelina Guerrero,FOIA Officer ,foia@arts.gov,"400 7th Street, SW",ATTN:NEA-OGC/FOIA,Washington,DC,20506,(202)682-5418,202-682-5572
National Endowment for the Arts,National Endowment for the Arts,Jean Choi,FOIA Public Liaison,FOIA@arts.gov,"400 7th Street, SW",ATTN:NEA-OGC/FOIA,Washington,DC,20506,202-682-5418,202-682-5572
National Endowment for the Arts,National Endowment for the Arts,Valencia Rainey,Chief FOIA Officer,foia@arts.gov,"400 7th Street, SW",ATTN:NEA-OGC/FOIA,Washington,DC,20506,(202) 682-5418,202-682-5572
National Endowment for the Humanities,National Endowment for the Humanities,,,gencounsel@neh.gov,Freedom of Information Act Officer,"400 7th Street SW, 4th Floor",Washington,DC,20506,202-606-8322,
National Endowment for the Humanities,National Endowment for the Humanities,Jessica Graves,FOIA Officer,gencounsel@neh.gov,Freedom of Information Act Officer,"400 7th Street SW, 4th Floor",Washington,DC,20506,202-606-8322,
National Endowment for the Humanities,National Endowment for the Humanities,Kimberly Hylan, FOIA Public Liaison,gencounsel@neh.gov,Freedom of Information Act Officer,"400 7th Street SW, 4th Floor",Washington,DC,20506,202-606-8322,
National Indian Gaming Commission,National Indian Gaming Commission,,,,"1849 C Street, NW, MS 1621",,Washington,DC,20240,202-632-7003,202-632-7066
National Indian Gaming Commission,National Indian Gaming Commission,Jo-Ann Shyloski,,,"1849 C Street, NW, MS 1621",,Washington,DC,20240,202-632-7003,202-632-7066
National Indian Gaming Commission,National Indian Gaming Commission,Tim Osumi,Chief FOIA Officer,,"1849 C Street, NW, MS 1621",,Washington,DC,20240,202-632-7054,202-632-7066
National Labor Relations Board,National Labor Relations Board,,,,NLRB FOIA Branch,"1015 Half Street SE, Ste. 4000",Washington,DC,20570,202-273-3840,(202) 273-3642
National Labor Relations Board,National Labor Relations Board,Kristine Minami,FOIA Public Liaison,FOIAPublicLiaison@nlrb.gov,NLRB FOIA Branch,"1015 Half Street SE, Ste. 4000",Washington,DC,20570,202-273-0902,(202) 273-3642
National Labor Relations Board,National Labor Relations Board,Synta E. Keeling,FOIA Officer,synta.keeling@nlrb.gov,NLRB FOIA Branch,"1015 Half Street SE, Ste. 4000",Washington,DC,20570,202-273-2995,(202) 273-3642
Office of Inspector General,National Labor Relations Board,Kristine Minami,FOIA Public Liaison,FOIAPublicLiaison@nlrb.gov,NLRB OIG FOIA Office,1015 Half Street SE,Washington,DC,20570,(202) 273-0902,
National Mediation Board,National Mediation Board,John Gross,FOIA Public Liasion,gross@nmb.gov,"Maria-Kate Dowling,  General Counsel, Suite 250E","1301 K Street, NW",Washington,DC,20005,202-692-5000,202-692-5085
National Mediation Board,National Mediation Board,Maria-Kate Dowling,General Counsel,,"Maria-Kate Dowling,  General Counsel, Suite 250E","1301 K Street, NW",Washington,DC,20005,202-692-5000,202-692-5085
National Mediation Board,National Mediation Board,Tamika Shorter,Program Management Specialist,tamika.shorter@nmb.gov,"Maria-Kate Dowling,  General Counsel, Suite 250E","1301 K Street, NW",Washington,DC,20005,202-692-5000,202-692-5085
National Passenger Railroad Corporation Headquarters,National Railroad Passenger Corporation,Elissa Gallo,Senior Associate General Counsel,foiapublicliaison@amtrak.com,1 Massachusetts Ave NW,FOIA Office,Washington,DC,20001,202-906-3215,
National Passenger Railroad Corporation Headquarters,National Railroad Passenger Corporation,Rebecca Conner,FOIA Officer,rebecca.conner@amtrak.com,1 Massachusetts Ave NW,FOIA Office,Washington,DC,20001,202-906-3215,
Office of the Inspector General ,National Railroad Passenger Corporation,Nadine Bennett,FOIA Officer,foia@amtrakoig.gov,Amtrak Office of Inspector General,"10 G St. NE, Suite 3W-300",Washington,DC,20002,202.906.4521,
National Science Foundation,National Science Foundation,Angela Nelson,FOIA Public Liaison,foia@nsf.gov,Freedom of Information Act Officer,"2415 Eisenhower Avenue, Suite W 18200",Alexandria,VA,22314,703-292-4289,703-292-9242
National Science Foundation,National Science Foundation,Spencer Christian,FOIA Officer,Schristi@nsf.gov,Freedom of Information Act Officer,"2415 Eisenhower Avenue, Suite W 18200",Alexandria,VA,22314,703-292-7711,703-292-9242
Office of Inspector General,National Science Foundation,,OIG FOIA Public Liaison,foiaoig@nsf.gov,2415 Eisenhower Avenue,W16100,Alexandria,VA,22314,703-292-7100,
National Transportation Safety Board,National Transportation Safety Board,,,,National Transportation Safety Board,"Attn:  FOIA Requester Service Center, CIO-40  490 L'Enfant Plaza, SW",Washington,DC,20594,202-314-6540,240-752-6257
National Transportation Safety Board,National Transportation Safety Board,Melba D. Moye,FOIA Officer,,National Transportation Safety Board,"Attn:  FOIA Requester Service Center, CIO-40  490 L'Enfant Plaza, SW",Washington,DC,20594,202-314-6540,240-752-6257
Neighborhood Reinvestment Corporation,Neighborhood Reinvestment Corporation,Gregory R. Sharma-Holt,Associate General Counsel & Chief FOIA Officer,gsharmaholt@nw.org,Neighborhood Reinvestment Corporation c/o Chief FOIA Officer,"999 N. Capitol Street, NE, Suite 900",Washington,DC,20002,202-733-6989,
